Step 1: {'loss': 1.9269, 'learning_rate': 2.3809523809523808e-06, 'epoch': 0.0}
Step 77: {'loss': 0.8018, 'learning_rate': 0.00018333333333333334, 'epoch': 0.28}
Step 78: {'loss': 0.7073, 'learning_rate': 0.00018571428571428572, 'epoch': 0.28}
Step 79: {'loss': 0.724, 'learning_rate': 0.0001880952380952381, 'epoch': 0.28}
Step 80: {'loss': 0.7052, 'learning_rate': 0.00019047619047619048, 'epoch': 0.29}
Step 81: {'loss': 0.714, 'learning_rate': 0.00019285714285714286, 'epoch': 0.29}
Step 82: {'loss': 0.7177, 'learning_rate': 0.00019523809523809525, 'epoch': 0.29}
Step 83: {'loss': 0.6822, 'learning_rate': 0.00019761904761904763, 'epoch': 0.3}
Step 84: {'loss': 0.6967, 'learning_rate': 0.0002, 'epoch': 0.3}
Step 85: {'loss': 0.7004, 'learning_rate': 0.00019999912967959196, 'epoch': 0.3}
Step 86: {'loss': 0.6629, 'learning_rate': 0.000199996518733517, 'epoch': 0.31}
Step 87: {'loss': 0.6887, 'learning_rate': 0.00019999216720722226, 'epoch': 0.31}
Step 88: {'loss': 0.6751, 'learning_rate': 0.00019998607517645228, 'epoch': 0.31}
Step 89: {'loss': 0.7268, 'learning_rate': 0.0001999782427472473, 'epoch': 0.32}
Step 90: {'loss': 0.7009, 'learning_rate': 0.0001999686700559419, 'epoch': 0.32}
Step 91: {'loss': 0.6585, 'learning_rate': 0.00019995735726916224, 'epoch': 0.33}
Step 92: {'loss': 0.6585, 'learning_rate': 0.00019994430458382322, 'epoch': 0.33}
Step 93: {'loss': 0.7171, 'learning_rate': 0.00019992951222712527, 'epoch': 0.33}
Step 94: {'loss': 0.6533, 'learning_rate': 0.0001999129804565502, 'epoch': 0.34}
Step 95: {'loss': 0.6701, 'learning_rate': 0.00019989470955985672, 'epoch': 0.34}
Step 96: {'loss': 0.6533, 'learning_rate': 0.00019987469985507553, 'epoch': 0.34}
Step 97: {'loss': 0.6913, 'learning_rate': 0.00019985295169050373, 'epoch': 0.35}
Step 98: {'loss': 0.6372, 'learning_rate': 0.00019982946544469873, 'epoch': 0.35}
Step 99: {'loss': 0.6795, 'learning_rate': 0.00019980424152647171, 'epoch': 0.35}
Step 100: {'loss': 0.6413, 'learning_rate': 0.00019977728037488053, 'epoch': 0.36}
Step 101: {'loss': 0.6882, 'learning_rate': 0.0001997485824592219, 'epoch': 0.36}
Step 102: {'loss': 0.6488, 'learning_rate': 0.0001997181482790236, 'epoch': 0.36}
Step 103: {'loss': 0.7293, 'learning_rate': 0.00019968597836403528, 'epoch': 0.37}
Step 104: {'loss': 0.6636, 'learning_rate': 0.00019965207327421962, 'epoch': 0.37}
Step 105: {'loss': 0.7121, 'learning_rate': 0.0001996164335997425, 'epoch': 0.38}
Step 106: {'loss': 0.6636, 'learning_rate': 0.00019957905996096257, 'epoch': 0.38}
Step 107: {'loss': 0.6881, 'learning_rate': 0.00019953995300842073, 'epoch': 0.38}
Step 108: {'loss': 0.6637, 'learning_rate': 0.00019949911342282848, 'epoch': 0.39}
Step 109: {'loss': 0.6922, 'learning_rate': 0.00019945654191505638, 'epoch': 0.39}
Step 110: {'loss': 0.7032, 'learning_rate': 0.0001994122392261214, 'epoch': 0.39}
Step 111: {'loss': 0.656, 'learning_rate': 0.0001993662061271743, 'epoch': 0.4}
Step 112: {'loss': 0.6499, 'learning_rate': 0.00019931844341948595, 'epoch': 0.4}
Step 113: {'loss': 0.6607, 'learning_rate': 0.00019926895193443352, 'epoch': 0.4}
Step 114: {'loss': 0.7138, 'learning_rate': 0.00019921773253348603, 'epoch': 0.41}
Step 115: {'loss': 0.6543, 'learning_rate': 0.00019916478610818928, 'epoch': 0.41}
Step 116: {'loss': 0.671, 'learning_rate': 0.0001991101135801503, 'epoch': 0.41}
Step 117: {'loss': 0.6391, 'learning_rate': 0.00019905371590102155, 'epoch': 0.42}
Step 118: {'loss': 0.6379, 'learning_rate': 0.00019899559405248392, 'epoch': 0.42}
Step 119: {'loss': 0.6845, 'learning_rate': 0.00019893574904623012, 'epoch': 0.43}
Step 120: {'loss': 0.6867, 'learning_rate': 0.0001988741819239467, 'epoch': 0.43}
Step 121: {'loss': 0.6801, 'learning_rate': 0.00019881089375729615, 'epoch': 0.43}
Step 122: {'loss': 0.6758, 'learning_rate': 0.0001987458856478981, 'epoch': 0.44}
Step 123: {'loss': 0.7034, 'learning_rate': 0.0001986791587273103, 'epoch': 0.44}
Step 124: {'loss': 0.6611, 'learning_rate': 0.00019861071415700867, 'epoch': 0.44}
Step 125: {'loss': 0.6565, 'learning_rate': 0.00019854055312836742, 'epoch': 0.45}
Step 126: {'loss': 0.6446, 'learning_rate': 0.00019846867686263803, 'epoch': 0.45}
Step 127: {'loss': 0.7377, 'learning_rate': 0.0001983950866109281, 'epoch': 0.45}
Step 128: {'loss': 0.6704, 'learning_rate': 0.00019831978365417955, 'epoch': 0.46}
Step 129: {'loss': 0.654, 'learning_rate': 0.0001982427693031465, 'epoch': 0.46}
Step 130: {'loss': 0.6475, 'learning_rate': 0.00019816404489837207, 'epoch': 0.46}
Step 131: {'loss': 0.6925, 'learning_rate': 0.00019808361181016543, 'epoch': 0.47}
Step 132: {'loss': 0.7009, 'learning_rate': 0.00019800147143857771, 'epoch': 0.47}
Step 133: {'loss': 0.6427, 'learning_rate': 0.00019791762521337777, 'epoch': 0.48}
Step 134: {'loss': 0.6733, 'learning_rate': 0.00019783207459402727, 'epoch': 0.48}
Step 135: {'loss': 0.7062, 'learning_rate': 0.00019774482106965513, 'epoch': 0.48}
Step 136: {'loss': 0.6414, 'learning_rate': 0.00019765586615903182, 'epoch': 0.49}
Step 137: {'loss': 0.6631, 'learning_rate': 0.00019756521141054288, 'epoch': 0.49}
Step 138: {'loss': 0.679, 'learning_rate': 0.00019747285840216182, 'epoch': 0.49}
Step 139: {'loss': 0.6772, 'learning_rate': 0.0001973788087414228, 'epoch': 0.5}
Step 140: {'loss': 0.6589, 'learning_rate': 0.0001972830640653926, 'epoch': 0.5}
Step 141: {'loss': 0.6662, 'learning_rate': 0.00019718562604064213, 'epoch': 0.5}
Step 142: {'loss': 0.644, 'learning_rate': 0.00019708649636321744, 'epoch': 0.51}
Step 143: {'loss': 0.6098, 'learning_rate': 0.00019698567675861014, 'epoch': 0.51}
Step 144: {'loss': 0.6496, 'learning_rate': 0.00019688316898172742, 'epoch': 0.51}
Step 145: {'loss': 0.6631, 'learning_rate': 0.00019677897481686153, 'epoch': 0.52}
Step 146: {'loss': 0.7022, 'learning_rate': 0.00019667309607765857, 'epoch': 0.52}
Step 147: {'loss': 0.6253, 'learning_rate': 0.00019656553460708706, 'epoch': 0.53}
Step 148: {'loss': 0.6688, 'learning_rate': 0.00019645629227740594, 'epoch': 0.53}
Step 149: {'loss': 0.6692, 'learning_rate': 0.00019634537099013177, 'epoch': 0.53}
Step 150: {'loss': 0.6372, 'learning_rate': 0.00019623277267600574, 'epoch': 0.54}
Step 151: {'loss': 0.6507, 'learning_rate': 0.00019611849929496, 'epoch': 0.54}
Step 152: {'loss': 0.649, 'learning_rate': 0.00019600255283608377, 'epoch': 0.54}
Step 153: {'loss': 0.6462, 'learning_rate': 0.0001958849353175884, 'epoch': 0.55}
Step 154: {'loss': 0.6102, 'learning_rate': 0.00019576564878677241, 'epoch': 0.55}
Step 155: {'loss': 0.6871, 'learning_rate': 0.00019564469531998583, 'epoch': 0.55}
Step 156: {'loss': 0.6327, 'learning_rate': 0.00019552207702259412, 'epoch': 0.56}
Step 157: {'loss': 0.6422, 'learning_rate': 0.00019539779602894134, 'epoch': 0.56}
Step 158: {'loss': 0.69, 'learning_rate': 0.00019527185450231326, 'epoch': 0.56}
Step 159: {'loss': 0.6099, 'learning_rate': 0.00019514425463489947, 'epoch': 0.57}
Step 160: {'loss': 0.6836, 'learning_rate': 0.00019501499864775534, 'epoch': 0.57}
Step 161: {'loss': 0.6414, 'learning_rate': 0.00019488408879076333, 'epoch': 0.58}
Step 162: {'loss': 0.7113, 'learning_rate': 0.0001947515273425939, 'epoch': 0.58}
Step 163: {'loss': 0.6815, 'learning_rate': 0.00019461731661066565, 'epoch': 0.58}
Step 164: {'loss': 0.647, 'learning_rate': 0.0001944814589311054, 'epoch': 0.59}
Step 165: {'loss': 0.6208, 'learning_rate': 0.00019434395666870734, 'epoch': 0.59}
Step 166: {'loss': 0.6045, 'learning_rate': 0.000194204812216892, 'epoch': 0.59}
Step 167: {'loss': 0.6461, 'learning_rate': 0.00019406402799766452, 'epoch': 0.6}
Step 168: {'loss': 0.6458, 'learning_rate': 0.00019392160646157242, 'epoch': 0.6}
Step 169: {'loss': 0.697, 'learning_rate': 0.00019377755008766315, 'epoch': 0.6}
Step 170: {'loss': 0.6664, 'learning_rate': 0.00019363186138344075, 'epoch': 0.61}
Step 171: {'loss': 0.6735, 'learning_rate': 0.0001934845428848222, 'epoch': 0.61}
Step 172: {'loss': 0.6561, 'learning_rate': 0.0001933355971560935, 'epoch': 0.61}
Step 173: {'loss': 0.6299, 'learning_rate': 0.00019318502678986477, 'epoch': 0.62}
Step 174: {'loss': 0.6838, 'learning_rate': 0.0001930328344070252, 'epoch': 0.62}
Step 175: {'loss': 0.6415, 'learning_rate': 0.00019287902265669764, 'epoch': 0.63}
Step 176: {'loss': 0.6482, 'learning_rate': 0.0001927235942161921, 'epoch': 0.63}
Step 177: {'loss': 0.6503, 'learning_rate': 0.00019256655179095952, 'epoch': 0.63}
Step 178: {'loss': 0.6576, 'learning_rate': 0.00019240789811454442, 'epoch': 0.64}
Step 179: {'loss': 0.6541, 'learning_rate': 0.00019224763594853745, 'epoch': 0.64}
Step 180: {'loss': 0.645, 'learning_rate': 0.00019208576808252726, 'epoch': 0.64}
Step 181: {'loss': 0.6099, 'learning_rate': 0.00019192229733405202, 'epoch': 0.65}
Step 182: {'loss': 0.6274, 'learning_rate': 0.00019175722654855032, 'epoch': 0.65}
Step 183: {'loss': 0.6514, 'learning_rate': 0.00019159055859931164, 'epoch': 0.65}
Step 184: {'loss': 0.6032, 'learning_rate': 0.00019142229638742622, 'epoch': 0.66}
Step 185: {'loss': 0.6493, 'learning_rate': 0.00019125244284173495, 'epoch': 0.66}
Step 186: {'loss': 0.7217, 'learning_rate': 0.00019108100091877787, 'epoch': 0.66}
Step 187: {'loss': 0.6328, 'learning_rate': 0.00019090797360274308, 'epoch': 0.67}
Step 188: {'loss': 0.6742, 'learning_rate': 0.00019073336390541473, 'epoch': 0.67}
Step 189: {'loss': 0.6526, 'learning_rate': 0.0001905571748661204, 'epoch': 0.68}
Step 190: {'loss': 0.6427, 'learning_rate': 0.00019037940955167845, 'epoch': 0.68}
Step 191: {'loss': 0.7108, 'learning_rate': 0.00019020007105634453, 'epoch': 0.68}
Step 192: {'loss': 0.6193, 'learning_rate': 0.00019001916250175764, 'epoch': 0.69}
Step 193: {'loss': 0.6744, 'learning_rate': 0.00018983668703688596, 'epoch': 0.69}
Step 194: {'loss': 0.6317, 'learning_rate': 0.0001896526478379719, 'epoch': 0.69}
Step 195: {'loss': 0.6855, 'learning_rate': 0.00018946704810847689, 'epoch': 0.7}
Step 196: {'loss': 0.729, 'learning_rate': 0.00018927989107902552, 'epoch': 0.7}
Step 197: {'loss': 0.6044, 'learning_rate': 0.0001890911800073495, 'epoch': 0.7}
Step 198: {'loss': 0.6566, 'learning_rate': 0.00018890091817823072, 'epoch': 0.71}
Step 199: {'loss': 0.6136, 'learning_rate': 0.00018870910890344427, 'epoch': 0.71}
Step 200: {'loss': 0.6598, 'learning_rate': 0.00018851575552170064, 'epoch': 0.71}
Step 201: {'loss': 0.6403, 'learning_rate': 0.00018832086139858775, 'epoch': 0.72}
Step 202: {'loss': 0.6764, 'learning_rate': 0.00018812442992651221, 'epoch': 0.72}
Step 203: {'loss': 0.6687, 'learning_rate': 0.00018792646452464048, 'epoch': 0.73}
Step 204: {'loss': 0.6372, 'learning_rate': 0.00018772696863883904, 'epoch': 0.73}
Step 205: {'loss': 0.6272, 'learning_rate': 0.0001875259457416148, 'epoch': 0.73}
Step 206: {'loss': 0.6208, 'learning_rate': 0.0001873233993320543, 'epoch': 0.74}
Step 207: {'loss': 0.6667, 'learning_rate': 0.00018711933293576302, 'epoch': 0.74}
Step 208: {'loss': 0.6222, 'learning_rate': 0.00018691375010480396, 'epoch': 0.74}
Step 209: {'loss': 0.6207, 'learning_rate': 0.0001867066544176358, 'epoch': 0.75}
Step 210: {'loss': 0.66, 'learning_rate': 0.00018649804947905055, 'epoch': 0.75}
Step 211: {'loss': 0.6746, 'learning_rate': 0.000186287938920111, 'epoch': 0.75}
Step 212: {'loss': 0.6534, 'learning_rate': 0.00018607632639808724, 'epoch': 0.76}
Step 213: {'loss': 0.6379, 'learning_rate': 0.00018586321559639317, 'epoch': 0.76}
Step 214: {'loss': 0.7047, 'learning_rate': 0.00018564861022452242, 'epoch': 0.76}
Step 215: {'loss': 0.6631, 'learning_rate': 0.00018543251401798374, 'epoch': 0.77}
Step 216: {'loss': 0.6609, 'learning_rate': 0.0001852149307382358, 'epoch': 0.77}
Step 217: {'loss': 0.6781, 'learning_rate': 0.00018499586417262208, 'epoch': 0.78}
Step 218: {'loss': 0.5989, 'learning_rate': 0.0001847753181343046, 'epoch': 0.78}
Step 219: {'loss': 0.703, 'learning_rate': 0.00018455329646219765, 'epoch': 0.78}
Step 220: {'loss': 0.6056, 'learning_rate': 0.00018432980302090116, 'epoch': 0.79}
Step 221: {'loss': 0.5783, 'learning_rate': 0.00018410484170063317, 'epoch': 0.79}
Step 222: {'loss': 0.6527, 'learning_rate': 0.00018387841641716223, 'epoch': 0.79}
Step 223: {'loss': 0.671, 'learning_rate': 0.00018365053111173924, 'epoch': 0.8}
Step 224: {'loss': 0.6705, 'learning_rate': 0.00018342118975102887, 'epoch': 0.8}
Step 225: {'loss': 0.6953, 'learning_rate': 0.0001831903963270404, 'epoch': 0.8}
Step 226: {'loss': 0.6881, 'learning_rate': 0.0001829581548570584, 'epoch': 0.81}
Step 227: {'loss': 0.596, 'learning_rate': 0.0001827244693835727, 'epoch': 0.81}
Step 228: {'loss': 0.6682, 'learning_rate': 0.000182489343974208, 'epoch': 0.82}
Step 229: {'loss': 0.624, 'learning_rate': 0.0001822527827216532, 'epoch': 0.82}
Step 230: {'loss': 0.6618, 'learning_rate': 0.00018201478974358995, 'epoch': 0.82}
Step 231: {'loss': 0.658, 'learning_rate': 0.0001817753691826212, 'epoch': 0.83}
Step 232: {'loss': 0.6212, 'learning_rate': 0.00018153452520619897, 'epoch': 0.83}
Step 233: {'loss': 0.6675, 'learning_rate': 0.00018129226200655176, 'epoch': 0.83}
Step 234: {'loss': 0.656, 'learning_rate': 0.00018104858380061178, 'epoch': 0.84}
Step 235: {'loss': 0.6784, 'learning_rate': 0.0001808034948299413, 'epoch': 0.84}
Step 236: {'loss': 0.6521, 'learning_rate': 0.00018055699936065896, 'epoch': 0.84}
Step 237: {'loss': 0.6222, 'learning_rate': 0.00018030910168336556, 'epoch': 0.85}
Step 238: {'loss': 0.6592, 'learning_rate': 0.00018005980611306925, 'epoch': 0.85}
Step 239: {'loss': 0.6064, 'learning_rate': 0.00017980911698911041, 'epoch': 0.85}
Step 240: {'loss': 0.6408, 'learning_rate': 0.00017955703867508633, 'epoch': 0.86}
Step 241: {'loss': 0.6947, 'learning_rate': 0.000179303575558775, 'epoch': 0.86}
Step 242: {'loss': 0.6326, 'learning_rate': 0.00017904873205205885, 'epoch': 0.87}
Step 243: {'loss': 0.6537, 'learning_rate': 0.00017879251259084804, 'epoch': 0.87}
Step 244: {'loss': 0.6318, 'learning_rate': 0.00017853492163500304, 'epoch': 0.87}
Step 245: {'loss': 0.6644, 'learning_rate': 0.00017827596366825718, 'epoch': 0.88}
Step 246: {'loss': 0.6521, 'learning_rate': 0.00017801564319813853, 'epoch': 0.88}
Step 247: {'loss': 0.6225, 'learning_rate': 0.00017775396475589144, 'epoch': 0.88}
Step 248: {'loss': 0.632, 'learning_rate': 0.00017749093289639767, 'epoch': 0.89}
Step 249: {'loss': 0.6803, 'learning_rate': 0.00017722655219809717, 'epoch': 0.89}
Step 250: {'loss': 0.6516, 'learning_rate': 0.00017696082726290823, 'epoch': 0.89}
Step 251: {'loss': 0.6075, 'learning_rate': 0.00017669376271614755, 'epoch': 0.9}
Step 252: {'loss': 0.6732, 'learning_rate': 0.00017642536320644964, 'epoch': 0.9}
Step 253: {'loss': 0.6585, 'learning_rate': 0.00017615563340568592, 'epoch': 0.9}
Step 254: {'loss': 0.6132, 'learning_rate': 0.00017588457800888342, 'epoch': 0.91}
Step 255: {'loss': 0.6065, 'learning_rate': 0.00017561220173414297, 'epoch': 0.91}
Step 256: {'loss': 0.5964, 'learning_rate': 0.00017533850932255717, 'epoch': 0.92}
Step 257: {'loss': 0.6693, 'learning_rate': 0.0001750635055381279, 'epoch': 0.92}
Step 258: {'loss': 0.6569, 'learning_rate': 0.00017478719516768324, 'epoch': 0.92}
Step 259: {'loss': 0.6271, 'learning_rate': 0.0001745095830207943, 'epoch': 0.93}
Step 260: {'loss': 0.6325, 'learning_rate': 0.00017423067392969137, 'epoch': 0.93}
Step 261: {'loss': 0.6664, 'learning_rate': 0.00017395047274917994, 'epoch': 0.93}
Step 262: {'loss': 0.6086, 'learning_rate': 0.0001736689843565562, 'epoch': 0.94}
Step 263: {'loss': 0.6406, 'learning_rate': 0.00017338621365152194, 'epoch': 0.94}
Step 264: {'loss': 0.6941, 'learning_rate': 0.0001731021655560995, 'epoch': 0.94}
Step 265: {'loss': 0.6213, 'learning_rate': 0.00017281684501454595, 'epoch': 0.95}
Step 266: {'loss': 0.6701, 'learning_rate': 0.00017253025699326706, 'epoch': 0.95}
Step 267: {'loss': 0.6585, 'learning_rate': 0.00017224240648073096, 'epoch': 0.95}
Step 268: {'loss': 0.6076, 'learning_rate': 0.0001719532984873811, 'epoch': 0.96}
Step 269: {'loss': 0.5908, 'learning_rate': 0.00017166293804554927, 'epoch': 0.96}
Step 270: {'loss': 0.5612, 'learning_rate': 0.00017137133020936782, 'epoch': 0.97}
Step 271: {'loss': 0.6233, 'learning_rate': 0.00017107848005468176, 'epoch': 0.97}
Step 272: {'loss': 0.6508, 'learning_rate': 0.00017078439267896042, 'epoch': 0.97}
Step 273: {'loss': 0.6529, 'learning_rate': 0.00017048907320120867, 'epoch': 0.98}
Step 274: {'loss': 0.6715, 'learning_rate': 0.00017019252676187788, 'epoch': 0.98}
Step 275: {'loss': 0.6232, 'learning_rate': 0.0001698947585227765, 'epoch': 0.98}
Step 276: {'loss': 0.6445, 'learning_rate': 0.0001695957736669799, 'epoch': 0.99}
Step 277: {'loss': 0.6548, 'learning_rate': 0.00016929557739874063, 'epoch': 0.99}
Step 278: {'loss': 0.6295, 'learning_rate': 0.0001689941749433974, 'epoch': 0.99}
Step 279: {'loss': 0.6554, 'learning_rate': 0.00016869157154728436, 'epoch': 1.0}
Step 280: {'loss': 0.6187, 'learning_rate': 0.00016838777247763978, 'epoch': 1.0}
Step 281: {'loss': 0.5866, 'learning_rate': 0.00016808278302251424, 'epoch': 1.0}
Step 282: {'loss': 0.6393, 'learning_rate': 0.00016777660849067868, 'epoch': 1.01}
Step 283: {'loss': 0.6018, 'learning_rate': 0.00016746925421153196, 'epoch': 1.01}
Step 284: {'loss': 0.6324, 'learning_rate': 0.00016716072553500815, 'epoch': 1.02}
Step 285: {'loss': 0.621, 'learning_rate': 0.0001668510278314833, 'epoch': 1.02}
Step 286: {'loss': 0.6698, 'learning_rate': 0.00016654016649168203, 'epoch': 1.02}
Step 287: {'loss': 0.5715, 'learning_rate': 0.0001662281469265837, 'epoch': 1.03}
Step 288: {'loss': 0.6322, 'learning_rate': 0.00016591497456732826, 'epoch': 1.03}
Step 289: {'loss': 0.6389, 'learning_rate': 0.00016560065486512156, 'epoch': 1.03}
Step 290: {'loss': 0.6332, 'learning_rate': 0.0001652851932911407, 'epoch': 1.04}
Step 291: {'loss': 0.6741, 'learning_rate': 0.00016496859533643852, 'epoch': 1.04}
Step 292: {'loss': 0.6232, 'learning_rate': 0.00016465086651184827, 'epoch': 1.04}
Step 293: {'loss': 0.6388, 'learning_rate': 0.00016433201234788758, 'epoch': 1.05}
Step 294: {'loss': 0.6062, 'learning_rate': 0.00016401203839466213, 'epoch': 1.05}
Step 295: {'loss': 0.6291, 'learning_rate': 0.0001636909502217692, 'epoch': 1.05}
Step 296: {'loss': 0.6403, 'learning_rate': 0.0001633687534182005, 'epoch': 1.06}
